rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,group_a_label,group_a_kind,group_a_column,group_a_value,group_a_n_cells,group_a_scope,group_a_restriction_column,group_a_restriction_value,group_b_label,group_b_kind,group_b_column,group_b_value,group_b_n_cells,group_b_scope,group_b_restriction_column,group_b_restriction_value,loaded_gene_count,total_gene_count,exported_at
82,Ncaph,0.6411653518280244,3.4189323470885626,0.052670623145400594,0.04030547305897327,0.24151973766813645,0.15486084297141334,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
83,Bcl2l1,0.39796129104695854,3.4059736657080952,0.11646884272997032,0.10436996181586763,0.5512243504870893,0.41834044921787605,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
84,Adam10,0.33554136856996464,3.3996566917924422,0.15467359050445104,0.14128128977513787,0.7253421125850621,0.5748237708791313,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
85,Rec114,0.8101880279214921,3.3994488002625998,0.03560830860534125,0.023759015697921087,0.1691178517631678,0.0964487536660584,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
86,Ccne1,0.8001859663620555,3.36909612136905,0.03560830860534125,0.024183283835383963,0.16272545700964658,0.0934487600977966,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
87,Kcnn4,0.4872012386995135,3.36854835348565,0.0830860534124629,0.06703436571913449,0.38342372865280694,0.27353716685603013,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
88,Cxcr2,0.54423315051335,3.347208196523312,0.06750741839762611,0.05345778532032244,0.3204111336600533,0.21972348288453936,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
89,Inpp5d,0.4596412755454026,3.333043855586415,0.08902077151335312,0.07467119219346627,0.409770303734686,0.2979711882381253,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
90,Rab43,0.5243724670176928,3.3304227032337916,0.07158753709198813,0.056851930420025454,0.33494274375700456,0.23287247761761581,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
91,Pik3cd,0.6096386325162757,3.3238919386207755,0.05526706231454006,0.0415782774713619,0.2552558609922845,0.16728434999665823,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
