rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,region_a_id,region_a_label,region_a_section_id,region_a_n_cells,region_b_id,region_b_label,region_b_section_id,region_b_n_cells,loaded_gene_count,total_gene_count,exported_at
78,Smarca1,1.1677706204316023,9.597589608332761,0.2716138328530259,0.14805725971370143,0.18932009737412592,0.08426745437954102,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
79,Lmo2,1.9595209017799857,9.477059237265868,0.1585014409221902,0.033128834355828224,0.09459890198681815,0.024321942765776122,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
80,Cntnap3,3.098606869240353,9.385834735490171,0.10086455331412104,0.012678936605316974,0.06186828884679921,0.0072217321834681224,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
81,Klf5,2.5409021176139146,9.365073239809988,0.11527377521613832,0.021676891615541923,0.07222742383349526,0.012410388908259464,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
82,Egr3,0.7604914023598492,9.341572046332724,0.40129682997118155,0.27975460122699386,0.32681705887491147,0.19291814239295713,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
83,Reln,2.1373835811439172,9.233953915019063,0.13328530259365995,0.022494887525562373,0.07331342551782083,0.01666275476751152,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
84,Nt5e,2.896785143755829,9.155344272483305,0.10230547550432277,0.014723926380368098,0.06493215324083391,0.008717610456948388,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
85,Plxnd1,3.4962131724953536,9.097033743397592,0.09005763688760807,0.006543967280163599,0.05325401942607992,0.00471849479314496,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
86,Plppr3,1.3050738005819005,9.096545139375497,0.2154178674351585,0.10102249488752556,0.1319409265298321,0.05339595115989264,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
87,Adamts3,1.2799590827672442,9.056266760563949,0.21253602305475505,0.10552147239263804,0.13514447925070178,0.05565287978188392,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
88,Cited4,4.82492795237222,9.046561387725209,0.07564841498559077,0.00245398773006135,0.04057640060567719,0.0014306477730015791,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
89,Hecw2,1.4009874272504412,8.956708624631293,0.2017291066282421,0.08875255623721881,0.13160002970214535,0.04983234599019364,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
90,Cacng3,1.2959131044627425,8.946735459145469,0.20677233429394812,0.08588957055214724,0.1163058453038206,0.047368255598900996,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
91,Gpr149,4.207785842461839,8.931308787638843,0.07780979827089338,0.0057259713701431495,0.04612280467058121,0.0024950620099323173,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
92,Pde1c,2.169966358745719,8.921336832821833,0.12319884726224783,0.023721881390593048,0.07590539452837249,0.016866604127523114,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
93,Ptchd1,2.46452659803237,8.808064818374616,0.10590778097982709,0.016768916155419224,0.05921314769459389,0.010727254104760527,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
94,Myo16,1.3010687076401874,8.691072598210424,0.19668587896253603,0.09120654396728016,0.12540753157836215,0.05089297536570114,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
95,Cntn4,2.0256526742754626,8.597421237743424,0.11743515850144093,0.031083844580777096,0.06537552248761702,0.01605508283603411,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
96,Isl1,7.288797211028565,8.562498236674621,0.06051873198847262,0.00040899795501022495,0.03071152521914639,0.00019541241396180448,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
97,Acvrl1,1.8099937976744607,8.500798262450783,0.14265129682997119,0.034764826175869123,0.11138170218948672,0.031764472871714085,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
98,Nefm,0.8598486017291542,8.459807018297575,0.30331412103746397,0.20204498977505111,0.22958576889649593,0.12650369246069396,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
99,Ppp2r2a,1.249771185615047,8.450306693653246,0.20028818443804033,0.09652351738241309,0.13152435454150785,0.055307370899645096,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
100,Grm4,2.930020193867924,8.446248486858877,0.08717579250720461,0.014314928425357873,0.051512883165556,0.006758278212176754,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
